Date,Type,Volume,Term,Price
15/01/2013,ESC,4722,Spot,31.25
21/01/2013,ESC,5000,Spot,31.4
30/01/2013,ESC,5000,Spot,31.1
31/01/2013,ESC,10000,Spot,32.75
13/02/2013,ESC,10000,Spot,31
13/02/2013,ESC,10000,Spot,31.1
26/02/2013,ESC,7000,Spot,29.5
27/02/2013,ESC,5000,Spot,29.5
28/02/2013,ESC,10000,Spot,29.35
8/03/2013,ESC,6500,Spot,27
15/03/2013,ESC,1476,Spot,25
2/04/2013,ESC,10000,Spot,22.45
3/04/2013,ESC,14000,Spot,22.45
5/04/2013,ESC,10000,Spot,23
8/04/2013,ESC,11500,Spot,22.45
9/04/2013,ESC,7500,Spot,23
18/04/2013,ESC,15907,Spot,23
26/04/2013,ESC,18000,Spot,23
29/04/2013,ESC,5000,Spot,23
7/05/2013,ESC,10000,Spot,23.5
17/05/2013,ESC,5000,Spot,23
22/05/2013,ESC,5000,Spot,22.5
27/05/2013,ESC,8000,Spot,22.35
30/05/2013,ESC,12000,Spot,21.25
11/06/2013,ESC,9000,Spot,21
14/06/2013,ESC,5000,Spot,20.5
19/06/2013,ESC,10000,Spot,18.3
19/06/2013,ESC,5000,Spot,18
19/06/2013,ESC,5000,Spot,18.5
20/06/2013,ESC,5000,Spot,17.6
28/06/2013,ESC,15000,Spot,14.75
16/07/2013,ESC,5000,Spot,16
31/07/2013,ESC,5000,Spot,18.5
8/08/2013,ESC,5000,Spot,18.25
9/08/2013,ESC,10000,Spot,18
23/08/2013,ESC,20000,Spot,17.5
28/08/2013,ESC,10000,Spot,17.1
28/08/2013,ESC,5000,Spot,17.3
29/08/2013,ESC,10000,Spot,17.1
6/09/2013,ESC,5000,Spot,16.25
20/09/2013,ESC,5000,Spot,15
25/09/2013,ESC,14500,Spot,14.4
3/10/2013,ESC,6896,Spot,13.95
14/10/2013,ESC,5000,Spot,13.95
21/10/2013,ESC,6435,Spot,13.95
21/10/2013,ESC,5000,Spot,13.95
23/10/2013,ESC,15000,Spot,13.5
29/10/2013,ESC,7000,Spot,13.5
30/10/2013,ESC,5000,Spot,13
6/11/2013,ESC,11500,Spot,13.2
8/11/2013,ESC,5000,Spot,13.5
14/11/2013,ESC,5000,Spot,13.5
14/11/2013,ESC,10000,Spot,13.5
18/11/2013,ESC,6351,Spot,13.5
22/11/2013,ESC,6773,Spot,13.9
26/11/2013,ESC,5000,Spot,14
27/11/2013,ESC,5000,Spot,14.95
5/12/2013,ESC,11963,Spot,15.6
6/12/2013,ESC,6000,Spot,16
11/12/2013,ESC,5000,Spot,16.5
11/12/2013,ESC,5000,Spot,17
11/12/2013,ESC,5000,Spot,17.25
13/12/2013,ESC,8500,Spot,17
16/12/2013,ESC,5000,Spot,17.25
17/12/2013,ESC,6800,Spot,16.8
19/12/2013,ESC,5000,Spot,16.7
7/01/2014,ESC,6000,Spot,16.5
8/01/2014,ESC,10000,Spot,15.8
9/01/2014,ESC,9000,Spot,15.5
10/01/2014,ESC,5000,Spot,15
10/01/2014,ESC,5000,Spot,15.1
13/01/2014,ESC,5000,Spot,14.5
13/01/2014,ESC,5200,Spot,14.7
20/01/2014,ESC,5000,Spot,14.25
21/01/2014,ESC,5000,Spot,14
23/01/2014,ESC,5000,Spot,13.85
23/01/2014,ESC,10000,Spot,13.95
24/01/2014,ESC,5000,Spot,13.85
31/01/2014,ESC,6300,Spot,14
10/02/2014,ESC,5000,Spot,14
17/02/2014,ESC,5000,Spot,14.25
20/02/2014,ESC,6000,Spot,14
20/02/2014,ESC,1843,Spot,13.85
27/02/2014,ESC,5000,Spot,14
28/02/2014,ESC,5000,Spot,14.25
28/02/2014,ESC,8000,Spot,14.5
5/03/2014,ESC,8000,Spot,14.45
12/03/2014,ESC,5000,Spot,14.5
13/03/2014,ESC,5000,Spot,14.7
13/03/2014,ESC,5000,Spot,14.6
14/03/2014,ESC,5000,Spot,14.6
20/03/2014,ESC,6000,Spot,14.8
25/03/2014,ESC,10000,Spot,14.5
28/03/2014,ESC,5000,Spot,14.25
14/04/2014,ESC,10000,Spot,13.2
17/04/2014,ESC,5000,Spot,12.5
17/04/2014,ESC,5000,Spot,12.5
1/05/2014,ESC,5000,Spot,12
1/05/2014,ESC,5000,Spot,12
2/05/2014,ESC,6000,Spot,11.35
2/05/2014,ESC,25000,Spot,11.4
6/05/2014,ESC,6000,Spot,11.3
6/05/2014,ESC,5000,Spot,11.35
6/05/2014,ESC,5000,Spot,11.3
7/05/2014,ESC,10000,Spot,11.25
20/05/2014,ESC,5000,Spot,11.05
21/05/2014,ESC,5000,Spot,11.05
21/05/2014,ESC,5000,Spot,11
27/05/2014,ESC,10000,Spot,11
27/05/2014,ESC,5000,Spot,11
29/05/2014,ESC,1887,Spot,11
30/05/2014,ESC,10000,Spot,11.2
2/06/2014,ESC,5000,Spot,11.4
2/06/2014,ESC,5000,Spot,11.45
3/06/2014,ESC,9408,Spot,11.5
3/06/2014,ESC,10000,Spot,11.55
5/06/2014,ESC,5000,Spot,11.5
5/06/2014,ESC,5000,Spot,11.5
11/06/2014,ESC,5000,Spot,11.9
17/06/2014,ESC,10000,Spot,11.7
17/06/2014,ESC,4000,Spot,11.6
18/06/2014,ESC,5000,Spot,11.5
19/06/2014,ESC,8000,Spot,11.5
20/06/2014,ESC,5000,Spot,11.5
1/07/2014,ESC,13500,Spot,11.25
8/07/2014,ESC,5000,Spot,11.5
8/07/2014,ESC,3065,Spot,11.25
8/07/2014,ESC,5000,Spot,11.25
17/07/2014,ESC,5000,Spot,10.85
17/07/2014,ESC,5000,Spot,10.85
29/07/2014,ESC,8693,Spot,10.75
