Date,Type,Volume,Term,Price
18/01/2023,PRC,25000,Spot,2.6
28/02/2023,PRC,65000,Spot,1.95
22/03/2023,PRC,50000,Spot,1.7
5/04/2023,PRC,25000,Spot,2.1
19/04/2023,PRC,100000,Spot,2.4
9/05/2023,PRC,100000,Spot,1.9
15/05/2023,PRC,30000,Spot,1.9
26/05/2023,PRC,50000,Spot,1.8
30/05/2023,PRC,50000,Spot,1.7
1/06/2023,PRC,20000,Spot,1.6
5/06/2023,PRC,50000,Spot,1.65
16/06/2023,PRC,20000,Spot,1.65
19/06/2023,PRC,200000,Spot,1.65
30/06/2023,PRC,40000,Spot,1.8
12/07/2023,PRC,60000,Spot,1.7
13/07/2023,PRC,30000,Spot,1.7
26/07/2023,PRC,50000,Spot,1.7
12/09/2023,PRC,20000,Spot,1.65
18/09/2023,PRC,50000,Spot,1.6
21/09/2023,PRC,150000,Spot,1.65
22/09/2023,PRC strip,75000,Spot,1.65
25/09/2023,PRC,45000,Spot,1.65
10/10/2023,PRC,50000,Spot,1.45
11/10/2023,PRC,50000,Spot,1.45
18/10/2023,PRC,50000,Spot,1.39
18/10/2023,PRC,50000,Spot,1.4
18/10/2023,PRC,125000,Spot,1.39
24/10/2023,PRC,20000,Spot,1.39
25/10/2023,PRC,100000,Spot,1.39
25/10/2023,PRC,50000,Spot,1.39
1/11/2023,PRC,50000,Spot,1.33
2/11/2023,PRC,100000,Spot,1.25
2/11/2023,PRC,50000,Spot,1.3
2/11/2023,PRC strip,200000,Spot,1.3
17/11/2023,PRC,50000,Spot,1.34
20/11/2023,PRC,50000,Spot,1.34
29/11/2023,PRC,100000,Spot,1.32
12/12/2023,PRC,100000,Spot,1.27
15/12/2023,PRC,100000,Spot,1.25
18/12/2023,PRC,200000,Spot,1.25
19/12/2023,PRC,25000,Spot,1.25
20/12/2023,PRC,75000,Spot,1.25
11/01/2024,PRC,50000,Spot,1.2
15/01/2024,PRC,80000,Spot,1.2
15/01/2024,PRC,100000,Spot,1.15
16/01/2024,PRC,20000,Spot,1.2
18/01/2024,PRC,35000,Spot,1.15
24/01/2024,PRC,150000,Spot,1.15
30/01/2024,PRC,50000,Spot,1.15
31/01/2024,PRC,30000,Spot,1.15
2/02/2024,PRC,50000,Spot,1.15
5/02/2024,PRC,40000,Spot,1.15
5/02/2024,PRC,30000,Spot,1.15
6/02/2024,PRC,40000,Spot,1.15
8/02/2024,PRC,50000,Spot,1
9/02/2024,PRC,35000,Spot,1
14/02/2024,PRC,50000,Spot,1.05
14/02/2024,PRC,30000,Spot,1.05
14/02/2024,PRC,30000,Spot,1.05
19/02/2024,PRC,50000,Spot,1.05
20/02/2024,PRC,195000,Spot,1.09
20/02/2024,PRC,400000,Spot,1.13
23/02/2024,PRC,30000,Spot,1.14
23/02/2024,PRC,240000,Spot,1.16
28/02/2024,PRC,25000,Spot,1.18
28/02/2024,PRC,25000,Spot,1.18
28/02/2024,PRC,50000,Spot,1.18
28/02/2024,PRC,100000,Spot,1.18
29/02/2024,PRC,100000,Spot,1.22
1/03/2024,PRC,60000,Spot,1.24
4/03/2024,PRC,60000,Spot,1.28
4/03/2024,PRC,45000,Spot,1.26
5/03/2024,PRC,200000,Spot,1.3
6/03/2024,PRC,200000,Spot,1.43
6/03/2024,PRC,200000,Spot,1.39
7/03/2024,PRC,100000,Spot,1.43
7/03/2024,PRC,100000,Spot,1.43
7/03/2024,PRC,50000,Spot,1.43
8/03/2024,PRC,60000,Spot,1.33
8/03/2024,PRC,50000,Spot,1.35
8/03/2024,PRC,50000,Spot,1.35
8/03/2024,PRC,200000,Spot,1.35
8/03/2024,PRC,200000,Spot,1.35
13/03/2024,PRC,50000,Spot,1.35
14/03/2024,PRC,100000,Spot,1.5
14/03/2024,PRC,115000,Spot,1.5
14/03/2024,PRC,150000,Spot,1.5
14/03/2024,PRC,200000,Spot,1.5
14/03/2024,PRC,100000,Spot,1.48
19/03/2024,PRC,50000,Spot,1.6
19/03/2024,PRC,75000,Spot,1.55
19/03/2024,PRC,50000,Spot,1.55
19/03/2024,PRC,100000,Spot,1.55
19/03/2024,PRC,50000,Spot,1.55
20/03/2024,PRC,50000,Spot,1.68
20/03/2024,PRC,100000,Spot,1.65
20/03/2024,PRC,150000,Spot,1.65
21/03/2024,PRC,50000,Spot,1.85
21/03/2024,PRC,50000,Spot,1.8
21/03/2024,PRC,50000,Spot,1.73
25/03/2024,PRC,50000,Spot,1.75
26/03/2024,PRC,50000,Spot,1.5
26/03/2024,PRC,200000,Spot,1.5
26/03/2024,PRC,50000,Spot,1.5
27/03/2024,PRC,100000,Spot,1.47
3/04/2024,PRC,50000,Spot,1.55
4/04/2024,PRC,50000,Spot,1.65
4/04/2024,PRC,40000,Spot,1.6
4/04/2024,PRC,50000,Spot,1.6
5/04/2024,PRC,50000,Spot,1.95
5/04/2024,PRC,50000,Spot,1.95
5/04/2024,PRC,100000,Spot,1.87
5/04/2024,PRC,50000,Spot,1.9
5/04/2024,PRC,100000,Spot,1.85
5/04/2024,PRC,100000,Spot,1.8
5/04/2024,PRC,150000,Spot,1.8
5/04/2024,PRC,50000,Spot,1.7
5/04/2024,PRC,50000,Spot,1.6
5/04/2024,PRC,100000,Spot,1.6
8/04/2024,PRC,50000,Spot,1.95
9/04/2024,PRC,95000,Spot,1.9
16/04/2024,PRC,50000,Spot,1.7
