Brand,Model,Product Website,Available,Pool Pump Type,Input Power,Current,Star Rating Index,Star Rating,Weighted Energy Factor,Daily Run Time,Projected Annual Energy Consumption (KWh/year),Date Available Until,Star Image Large,Star Image Small
Astral Pool,21280 (CTX280C),,"Australia,Fiji,New Zealand",Single speed,1035.0,4.5,1.3,1.0,14.255,3.4239,1280.2,2027-04-14,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Astral Pool,21170 (E170C),,"Australia,New Zealand",Single speed,805.0,3.5,1.45,1.0,16.002,3.7472,1140.5,2027-05-11,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Filtrite,11473CR (PX150),,"Australia,New Zealand",Single speed,1587.0,6.9,1.14,1.0,11.795,3.0105,1547.3,2027-06-02,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Stanley,1120309 (STX400),,"Australia,New Zealand",Single speed,1587.0,6.9,1.14,1.0,11.795,3.0105,1547.3,2027-06-02,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
H2flo,1120305 (SP 1.5HP),,"Australia,New Zealand",Single speed,1587.0,6.9,1.14,1.0,11.795,3.0105,1547.3,2027-06-02,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
H2flo,PX150,,"Australia,New Zealand",Single speed,1587.0,6.9,1.14,1.0,11.795,3.0105,1547.3,2027-06-02,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Stanley,PX150,,"Australia,New Zealand",Single speed,1587.0,6.9,1.14,1.0,11.795,3.0105,1547.3,2027-06-02,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Filtrite,PX150,,"Australia,New Zealand",Single speed,1587.0,6.9,1.14,1.0,11.795,3.0105,1547.3,2027-06-02,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Astral Pool,11456 (FX190),,"Australia,New Zealand",Single speed,798.1,3.47,1.36,1.0,15.718,3.5503,1161.1,2027-05-11,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Astral Pool,11459 (FX340),,"Australia,New Zealand",Single speed,1587.0,6.9,1.11,1.0,11.701,2.9997,1559.6,2027-05-11,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Astral Pool,11547 (Viron XT P320C),,"Australia,New Zealand",Variable speed,1725.0,7.5,6.24,6.0,35.529,5.8875,513.66,2027-05-11,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_6_Star.png
Astral Pool,11548 (Viron XT P520C),,"Australia,New Zealand",Variable speed,1840.0,8.0,4.76,4.5,24.874,5.5069,733.71,2027-05-11,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_4.5_Star.png
Astral Pool,21140 (E140C),,"Australia,New Zealand",Single speed,805.0,3.5,1.54,1.5,16.316,3.7196,1118.6,2027-05-11,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Astral Pool,21230 (E230C),,"Australia,New Zealand",Single speed,897.0,3.9,1.32,1.0,15.035,3.5447,1213.8,2027-05-11,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Astral Pool,21360 (CTX360C),,"Australia,New Zealand",Single speed,1104.0,4.8,1.15,1.0,13.491,3.439,1352.7,2027-05-11,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Astral Pool,21400 (CTX400C),,"Australia,New Zealand",Single speed,1633.0,7.1,1.12,1.0,11.607,3.0069,1572.3,2027-05-11,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
