Model Number,Brand,Manufacturer,Equipment category,	Series,CEC approved date,CEC expiry date,Rated Apparent AC Power (kVA),Rated DC Power (kW),Nominal Battery Capacity (kWh),Usable Battery Capacity (kWh),Outdoor Usage
AKE-5KW-LB2,AKAI Energy,Tempo (Aust) Pty Ltd,Pre-assembled Battery System (BS),AKE-XKW-LB2,2022-12-21,2025-12-21,0.0,3.38,5.12,4.61,Yes
AKE-5KW-HB,AKAI Energy,Tempo (Aust) Pty Ltd,Pre-assembled Battery System (BS),AKE-XKW-HB,2022-12-09,2025-12-09,0.0,2.5,5.12,4.1,No
AKE-10KW-HB,AKAI Energy,Tempo (Aust) Pty Ltd,Pre-assembled Battery System (BS),AKE-XKW-HB,2022-12-09,2025-12-09,0.0,2.5,10.24,8.19,No
SMILE-G3-BAT-10.1P VI,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE-G3 series,2022-08-22,2025-08-22,0.0,5.04,60.6,57.5,Yes
SMILE-G3-BAT-10.1P V,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE-G3 series,2022-08-22,2025-08-22,0.0,5.04,50.5,47.9,Yes
SMILE-G3-BAT-10.1P IV,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE-G3 series,2022-08-22,2025-08-22,0.0,5.04,40.4,38.3,Yes
SMILE-G3-BAT-10.1P III,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE-G3 series,2022-08-22,2025-08-22,0.0,5.04,30.3,28.7,Yes
SMILE-G3-BAT-10.1P II,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE-G3 series,2022-08-22,2025-08-22,0.0,5.04,20.2,19.2,Yes
SMILE-G3-BAT-10.1P,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE-G3 series,2022-08-22,2025-08-22,0.0,5.04,10.1,9.6,Yes
SMILE-BAT-8.2 PH VI,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE,2021-09-30,2024-09-30,0.0,59.0,49.2,46.7,Yes
SMILE-BAT-8.2 PH V,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE,2021-09-30,2024-09-30,0.0,49.2,41.0,39.0,Yes
SMILE-BAT-8.2 PH IV,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE,2021-09-30,2024-09-30,0.0,39.3,32.8,31.2,Yes
SMILE-BAT-8.2 PH III,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE,2021-09-30,2024-09-30,0.0,24.5,24.6,23.4,Yes
SMILE-BAT-8.2 PH II,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE,2021-09-30,2024-09-30,0.0,19.7,16.4,15.6,Yes
SMILE-BAT-8.2 PH,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE,2021-09-30,2024-09-30,0.0,9.8,8.2,7.8,Yes
SMILE-BAT-5P,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE,2022-12-19,2025-12-19,0.0,2.52,5.04,4.79,Yes
SMILE-BAT-10.3P,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE Series,2022-08-23,2025-08-23,0.0,5.12,10.3,9.3,Yes
SMILE-BAT-10.1P,Alpha ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE Series,2022-07-10,2025-07-10,0.0,4.8,10.08,9.07,Yes
SMILE5-BAT,Alpha.ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE,2022-01-13,2025-01-13,0.0,5.0,5.7,5.5,Yes
M4856-P,Alpha.ESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),Residential Series,2022-03-03,2025-03-03,0.0,2.87,2.9,2.8,Yes
SMILE-B3-PLUS VI (AS4777-2 2020),Alpha.ESS,Alpha ESS Co Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),SMILE-B3-PLUS,2022-01-22,2025-01-25,3.0,0.0,30.24,28.73,Yes
SMILE-B3-PLUS V (AS4777-2 2020),Alpha.ESS,Alpha ESS Co Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),SMILE-B3-PLUS,2022-01-22,2025-01-25,3.0,0.0,25.2,23.94,Yes
SMILE-B3-PLUS IV (AS4777-2 2020),Alpha.ESS,Alpha ESS Co Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),SMILE-B3-PLUS,2022-01-22,2025-01-25,3.0,0.0,20.16,19.15,Yes
SMILE-B3-PLUS III (AS4777-2 2020),Alpha.ESS,Alpha ESS Co Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),SMILE-B3-PLUS,2022-01-22,2025-01-25,3.0,0.0,15.12,14.36,Yes
SMILE-B3-PLUS II (AS4777-2 2020),Alpha.ESS,Alpha ESS Co Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),SMILE-B3-PLUS,2022-01-22,2025-01-25,3.0,0.0,10.08,9.58,Yes
SMILE-B3-PLUS (AS4777-2 2020),Alpha.ESS,Alpha ESS Co Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),SMILE-B3-PLUS,2022-01-22,2025-01-25,3.0,0.0,5.04,4.79,Yes
SMILE-BAT-13.3P,AlphaESS,Alpha ESS Co Ltd,Pre-assembled Battery System (BS),SMILE-BAT-13.3P,2023-08-24,2026-08-24,0.0,5.0,13.34,13.4,Yes
AS-5KW-LB2,Altius,Tempo (Aust) Pty Ltd,Pre-assembled Battery System (BS),AS-XKW-LB2,2022-12-21,2025-12-21,0.0,3.38,5.12,4.61,Yes
GTX5000-PRO,AMASSTORE,SofarSolar Ausco Pty Ltd,Pre-assembled Battery System (BS),GTX5000-PRO,2022-08-26,2025-08-26,0.0,5.0,5.12,4.6,No
HS2-6K-S2-4 4G (AS4777-2 2020),AMBRION,Solar Bos Pty Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),HS2,2023-10-30,2026-10-30,6.0,0.0,20.0,18.0,Yes
HS2-6K-S2-3 4G (AS4777-2 2020),AMBRION,Solar Bos Pty Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),HS2,2023-10-30,2026-10-30,6.0,0.0,15.0,13.5,Yes
HS2-6K-S2-2 4G (AS4777-2 2020),AMBRION,Solar Bos Pty Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),HS2,2023-10-30,2026-10-30,6.0,0.0,10.0,9.0,Yes
HS2-6K-S2-1 4G (AS4777-2 2020),AMBRION,Solar Bos Pty Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),HS2,2023-10-30,2026-10-30,6.0,0.0,5.0,4.5,Yes
HS2-5K-S2-4 4G (AS4777-2 2020),AMBRION,Solar Bos Pty Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),HS2,2023-10-30,2026-10-30,5.0,0.0,20.0,18.0,Yes
HS2-5K-S2-3 4G (AS4777-2 2020),AMBRION,Solar Bos Pty Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),HS2,2023-10-30,2026-10-30,5.0,0.0,15.0,13.5,Yes
HS2-5K-S2-2 4G (AS4777-2 2020),AMBRION,Solar Bos Pty Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),HS2,2023-10-30,2026-10-30,5.0,0.0,10.0,9.0,Yes
HS2-5K-S2-1 4G (AS4777-2 2020),AMBRION,Solar Bos Pty Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),HS2,2023-10-30,2026-10-30,5.0,0.0,5.0,4.5,Yes
HS2-3K-S2-2 4G (AS4777-2 2020),AMBRION,Solar Bos Pty Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),HS2,2023-10-30,2026-10-30,3.0,0.0,10.0,9.0,Yes
HS2-3K-S2-1 4G (AS4777-2 2020),AMBRION,Solar Bos Pty Ltd,Pre-assembled Integrated Battery Energy Storage System (BESS),HS2,2023-10-30,2026-10-30,3.0,0.0,5.0,4.5,Yes
Genius BA5,AVOL,Cornick Pty Ltd,Pre-assembled Battery System (BS),Genius,2023-07-25,2026-07-25,0.0,4.1,5.12,4.6,Yes
Genius BA20,AVOL,Cornick Pty Ltd,Pre-assembled Battery System (BS),Genius,2023-07-25,2026-07-25,0.0,4.1,20.48,18.4,Yes
Genius BA15,AVOL,Cornick Pty Ltd,Pre-assembled Battery System (BS),Genius,2023-07-25,2026-07-25,0.0,4.1,15.36,13.8,Yes
