Accepted Product ID,Product Type,Method(s),Activity Definition,Brand,Model Number,Driver Brand (if declared article),Driver Model Number (if declared article),Lifetime in hours (if applicable) 	,Strip light length in meters (if applicable) ,Light output (lm) (if applicable) ,Accepted LCP/NLP Value,AS/NZS4234 version,Zone 3 System Size,Zone 3 Peak Load (MJ/day) ,Zone 3 Annual Energy Savings %,Zone 3 Bs (GJ/year) ,Zone 3 Be (GJ/year),Zone 3 HPelec (GJ/year),Zone 3 HPgas (GJ/year),Zone 3 RefElec (GJ/year),Zone 5 System Size ,Zone 5 Peak Load (MJ/day) ,Zone 5 Annual Energy Savings % ,Zone 5 Bs (GJ/year) ,Zone 5 Be (GJ/year),Zone 5 HPelec (GJ/year),Zone 5 HPgas (GJ/year),Zone 5 RefElec (GJ/year),No. of hot water tank(s) ,Tank Model Number ,Tank Size (L) ,Pre-heat tank model number(s),Finishing tank model number(s) ,Pre-heat tank volume (L) ,Finishing tank volume (L) ,Total system tank volume (L) ,Collector Type,Collector Model Number,No. of collectors,No. of  heat pump(s),Heat pump unit model number(s) ,Total heat pump thermal capacity (kW) ,System booster type ,Booster model number(s) ,Total thermal capacity (kW),System Type,Refrigerant type (GWP),Refrigerant charge (kg),AS/NZS 2712 Certificate Expiry,Limitations,Effective From,Effective To,Status
ACC0016128,LED Luminaires - Linear Lamp,Commercial Lighting,,3A Lighting,LED/BT/22W/DL,,,,,,21.8,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2022-08-17,,Active
ACC0024860,LED Luminaires - Recessed,HEER,E1,3A Lighting,3A-DL1196-TC WH Tri-Colour,,,,,,6.92,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-07-23,,Active
ACC0016341,LED Luminaires - Recessed,Commercial Lighting,,3A Lighting,LPB new/40W 1200X300,LIFUD,LF-GIR040YM0900H,,,,35.43,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-10-01,,Active
ACC0015973,LED Luminaires - Recessed,Commercial Lighting,,3A Lighting,3A-DL1196-TC WH Tri-Colour,,,,,,7.07,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-07-05,,Active
ACC0016346,LED Luminaires - Recessed,Commercial Lighting,,3A Lighting,LPB new 40W 1200X300 WH/TC,Mingfirst Power,MIHN2036YB-C0900A,,,,35.58,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-10-01,,Active
ACC0016424,LED Luminaires - Linear Lamp,Commercial Lighting,,3A Lighting,LED/BT/40W/TC/Tri-Power,,,,,,40.95,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2022-08-30,,Active
ACC0015536,LED Lamp and Driver,Commercial Lighting,,3G Energy Solutions,NXG-C1-CL59-6-18W,3G Energy Solutions,NXG-C1-G18500-01,,,,17.9,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-01-25,,Active
ACC0015727,LED Luminaires - High/Low Bay,Commercial Lighting,,3G Energy Solutions,NXG-C5-HB1-150W,,,,,,150.1,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2016-10-04,,Active
ACC0015596,LED Luminaires - Recessed,Commercial Lighting,,3G Energy Solutions,NXG-C1-PL301200-33W-G3,3G Energy Solutions,NXG-C1-450105-N6,,,,32.43,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-01-25,,Active
ACC0015580,LED Lamp and Driver,Commercial Lighting,,3G Energy Solutions,NXG-C1-CL59-8-25W,3G Energy Solutions,NXG-C1-G25700-01,,,,25.58,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-01-25,,Active
ACC0015602,LED Luminaires - Recessed,Commercial Lighting,,3G Energy Solutions,NXG-C1-PL6060-33W-G3,3G Energy Solutions,NXG-C1-450105-N6,,,,34.55,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-01-25,,Active
ACC0015603,LED Luminaires - Recessed,Commercial Lighting,,3G Energy Solutions,NXG-C1-PL30120-33W-G3,3G Energy Solutions,NXG-C1-L4-800mA-35W,,,,35.08,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-01-25,,Active
ACC0015619,LED Luminaires - Recessed,Commercial Lighting,,3G Energy Solutions,NXG-C1-PL30120-36W-S3,3G Energy Solutions,NXG-C1-L4-800mA-35W,,,,37.71,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-01-25,,Active
ACC0015611,LED Luminaires - Recessed,Commercial Lighting,,3G Energy Solutions,NXG-C1-PL6060-36W-S3,3G Energy Solutions,NXG-C1-L4-800mA-35W,,,,36.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-01-25,,Active
ACC0012861,LED Luminaires - Linear Lamp,Commercial Lighting,,3S,111002,,,,,,25.96,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-08-20,,Active
ACC0023366,LED Luminaires - Fixed Type,Commercial Lighting,,3S Lighting Pty,90000.343 LED,,,,,,39.7,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2015-08-07,,Active
ACC0016854,LED Luminaires - High/Low Bay,Commercial Lighting,,A-UNIQUE,AU02-HB240W,,,,,,243.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-04-12,,Active
ACC0016769,LED Luminaires - High/Low Bay,Commercial Lighting,,A-UNIQUE,AU02-HB150W,,,,,,153.7,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-04-12,,Active
